test vector,23_s-a-0,3_s-a-1,16_s-a-0,2_s-a-1,16_s-a-1,3_2_s-a-1,19_s-a-1,7_s-a-1,11_s-a-0,11_1_s-a-1,3_1_s-a-1,1_s-a-1,3_s-a-0,6_s-a-1,16_1_s-a-1,10_s-a-1,22_s-a-0,22_s-a-1,23_s-a-1,11_s-a-1,16_2_s-a-1,11_2_s-a-1
00000,,,✓,✓,,,,✓,,,,,,,,,,✓,✓,,,,Not Essential
00001,✓,,✓,✓,,,✓,,✓,,,,,,,,,✓,,,,,Not Essential
00010,,,✓,✓,,,,✓,,,,,,,,,,✓,✓,,,,Not Essential
00011,✓,✓,✓,✓,,✓,✓,,✓,,,,,,,,,✓,,,,,Not Essential
00100,,,✓,✓,,,,✓,,,,✓,,,,,,✓,✓,,,,Not Essential
00101,✓,,✓,✓,,,✓,,✓,,,✓,,✓,,,,✓,,,,,Not Essential
00110,,,✓,,,,,,,,,✓,,,,,,✓,✓,,,,Not Essential
00111,,,✓,,,,,,,,,✓,✓,,,,,✓,✓,✓,,✓,Not Essential
01000,✓,,,,✓,,,,✓,,,,,,✓,,✓,,,,✓,,Not Essential
01001,✓,,,,✓,,,,✓,,,,,,✓,,✓,,,,,,Not Essential
01010,✓,✓,,,✓,✓,,,✓,,,,,,✓,,✓,,,,✓,,Not Essential
01011,✓,✓,,,✓,✓,,,✓,,,,,,✓,,✓,,,,,,Not Essential
01100,✓,,,,✓,,,,✓,,,,,✓,✓,,✓,,,,✓,,Not Essential
01101,✓,,,,✓,,,,✓,,,,,✓,✓,,✓,,,,,,Not Essential
01110,,,✓,,,,,,,✓,,✓,✓,,,,,✓,✓,✓,,,Not Essential
01111,,,✓,,,,,,,✓,,✓,✓,,,,,✓,✓,✓,,✓,Not Essential
10000,,✓,✓,✓,,,,✓,,,✓,,,,,,,✓,✓,,,,Not Essential
10001,✓,✓,✓,✓,,,✓,,✓,,✓,,,,,,,✓,,,,,Not Essential
10010,,✓,✓,✓,,,,✓,,,✓,,,,,,,✓,✓,,,,Not Essential
10011,✓,✓,✓,✓,,✓,✓,,✓,,✓,,,,,,,✓,,,,,Not Essential
10100,,,✓,✓,,,,✓,,,,,✓,,,✓,✓,,✓,,,,Not Essential
10101,✓,,,,,,✓,,✓,,,,✓,✓,,✓,✓,,,,,,Not Essential
10110,,,✓,,,,,,,,,,✓,,,✓,✓,,✓,,,,Not Essential
10111,,,✓,,,,,,,,,,✓,,,✓,✓,,✓,✓,,✓,Not Essential
11000,✓,,,,✓,,,,✓,,,,,,✓,,✓,,,,✓,,Not Essential
11001,✓,,,,✓,,,,✓,,,,,,✓,,✓,,,,,,Not Essential
11010,✓,✓,,,✓,✓,,,✓,,,,,,✓,,✓,,,,✓,,Not Essential
11011,✓,✓,,,✓,✓,,,✓,,,,,,✓,,✓,,,,,,Not Essential
11100,✓,,,,✓,,,,✓,,,,,✓,,,✓,,,,✓,,Not Essential
11101,✓,,,,,,,,✓,,,,,✓,,,✓,,,,,,Not Essential
11110,,,✓,,,,,,,✓,,,✓,,,✓,✓,,✓,✓,,,Not Essential
11111,,,✓,,,,,,,✓,,,✓,,,✓,✓,,✓,✓,,✓,Not Essential
