test vector,8_s-a-1,4_s-a-0,5_s-a-1,3_s-a-0,7_s-a-0,9_s-a-0,1_s-a-0,8_s-a-0,3_s-a-1,4_s-a-1,2_s-a-1,1_s-a-1,2_2_s-a-0,9_s-a-1,6_s-a-0,2_1_s-a-0,2_s-a-0,6_s-a-1,7_s-a-1,2_2_s-a-1,5_s-a-0,2_1_s-a-1
00000,✓,,✓,,,✓,,,✓,✓,✓,,,,,,,✓,✓,✓,,
00001,,,,,,,,✓,✓,✓,✓,,,✓,,,,,✓,✓,✓,
00010,✓,✓,✓,,✓,,,,✓,,✓,,,✓,,,,✓,,✓,,
00011,,✓,,,✓,✓,,✓,✓,,✓,,,,,,,,,✓,✓,
00100,✓,,✓,✓,✓,,,,,✓,✓,,,✓,,,,✓,,✓,,
00101,,,,✓,✓,✓,,✓,,✓,✓,,,,,,,,,✓,✓,
00110,✓,✓,✓,✓,,✓,,,,,✓,,,,,,,✓,✓,✓,,
00111,,✓,,✓,,,,✓,,,✓,,,✓,,,,,✓,✓,✓,
01000,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,,,✓,✓,,,,
01001,,,,,✓,✓,,✓,✓,✓,,,✓,,,,✓,,,,✓,
01010,✓,✓,✓,,,✓,,,✓,,,✓,✓,,,,✓,✓,✓,,,
01011,,✓,,,,,,✓,✓,,,,✓,✓,,,✓,,✓,,✓,
01100,✓,,✓,✓,,✓,,,,✓,,✓,✓,,,,✓,✓,✓,,,
01101,,,,✓,,,,✓,,✓,,,✓,✓,,,✓,,✓,,✓,
01110,✓,✓,✓,✓,✓,,,,,,,✓,✓,✓,,,✓,✓,,,,
01111,,✓,,✓,✓,✓,,✓,,,,,✓,,,,✓,,,,✓,
10000,✓,,✓,,,✓,,,✓,✓,,,,,,,,✓,✓,✓,,✓
10001,,,,,,,,✓,✓,✓,✓,,,✓,,,,,✓,✓,✓,
10010,✓,✓,✓,,✓,,,,✓,,,,,✓,,,,✓,,✓,,✓
10011,,✓,,,✓,✓,,✓,✓,,✓,,,,,,,,,✓,✓,
10100,✓,,✓,✓,✓,,,,,✓,,,,✓,,,,✓,,✓,,✓
10101,,,,✓,✓,✓,,✓,,✓,✓,,,,,,,,,✓,✓,
10110,✓,✓,✓,✓,,✓,,,,,,,,,,,,✓,✓,✓,,✓
10111,,✓,,✓,,,,✓,,,✓,,,✓,,,,,✓,✓,✓,
11000,,,,,✓,✓,✓,✓,✓,✓,,,✓,,✓,✓,,,,,,
11001,,,,,✓,✓,,✓,✓,✓,,,✓,,,,✓,,,,,
11010,,✓,,,,,✓,✓,✓,,,,✓,✓,✓,✓,,,✓,,,
11011,,✓,,,,,,✓,✓,,,,✓,✓,,,✓,,✓,,,
11100,,,,✓,,,✓,✓,,✓,,,✓,✓,✓,✓,,,✓,,,
11101,,,,✓,,,,✓,,✓,,,✓,✓,,,✓,,✓,,,
11110,,✓,,✓,✓,✓,✓,✓,,,,,✓,,✓,✓,,,,,,
11111,,✓,,✓,✓,✓,,✓,,,,,✓,,,,✓,,,,,
